List,SubList,ListLength,ID,RootIdentifier,word,disambiguation,wordPlusDisamb,subjCode,rating
C,52,25,1163,11,bark,(as in tree),bark(as in tree),BL10,1
C,52,25,596,2,acidic,,acidic,BL10,0
C,52,25,628,22,branching,,branching,BL10,0
C,52,25,1176,NA,breast,,breast,BL10,0
C,52,25,1599,245,clicking,,clicking,BL10,2
C,52,25,1396,47,cone,,cone,BL10,0
C,52,25,1343,NA,creed,,creed,BL10,-1
C,52,25,1407,59,crunch,,crunch,BL10,3
C,52,25,696,NA,dry,,dry,BL10,1
C,52,25,1422,82,fluff,,fluff,BL10,4
C,52,25,724,84,forked,,forked,BL10,2
C,52,25,1345,NA,fuss,,fuss,BL10,0
C,52,25,740,96,glossy,,glossy,BL10,1
C,52,25,1183,301,know,,know,BL10,-1
C,52,25,1699,271,management,,management,BL10,3
C,52,25,831,152,peachy,,peachy,BL10,1
C,52,25,840,NA,portly,,portly,BL10,1
C,52,25,1722,278,reflection,,reflection,BL10,2
C,52,25,1162,NA,root,,root,BL10,-1
C,52,25,871,173,rusty,,rusty,BL10,0
C,52,25,1156,NA,snake,,snake,BL10,2
C,52,25,1525,208,squeal,,squeal,BL10,3
C,52,25,1737,285,stranger,,stranger,BL10,-1
C,52,25,942,NA,tangerine,,tangerine,BL10,0
C,52,25,1359,NA,zing,,zing,BL10,1
C,7,26,671,51,craggy,(as in a jagged cliff),craggy(as in a jagged cliff),BL100,-3
C,7,26,815,144,musty,(as in smell),musty(as in smell),BL100,4
C,7,26,609,11,barking,,barking,BL100,5
C,7,26,1370,12,beep,,beep,BL100,5
C,7,26,1371,13,beer,,beer,BL100,1
C,7,26,1379,22,branch,,branch,BL100,0
C,7,26,636,NA,broad,,broad,BL100,1
C,7,26,1779,NA,century,,century,BL100,1
C,7,26,1783,NA,condition,,condition,BL100,0
C,7,26,1931,289,confide,,confide,BL100,-2
C,7,26,1309,NA,defense,,defense,BL100,3
C,7,26,1051,NA,file,,file,BL100,0
C,7,26,1147,NA,five,,five,BL100,3
C,7,26,1126,NA,gray,,gray,BL100,2
C,7,26,1438,103,groan,,groan,BL100,5
C,7,26,1690,NA,independence,,independence,BL100,1
C,7,26,1834,NA,liquid,,liquid,BL100,3
C,7,26,1697,NA,load,,load,BL100,0
C,7,26,817,145,muttering,,muttering,BL100,4
C,7,26,1052,272,order,,order,BL100,0
C,7,26,995,NA,ring,,ring,BL100,5
C,7,26,1512,188,shriek,,shriek,BL100,5
C,7,26,1232,NA,sword,,sword,BL100,5
C,7,26,1533,217,tang,,tang,BL100,5
C,7,26,1248,NA,template,,template,BL100,0
C,7,26,1261,NA,testy,,testy,BL100,3
A,47,25,1830,NA,lead,(as in metal),lead(as in metal),BL101,0
A,47,25,645,33,buzzing,,buzzing,BL101,5
A,47,25,1599,245,clicking,,clicking,BL101,1
A,47,25,1290,NA,deuce,,deuce,BL101,-4
A,47,25,1306,NA,ease,,ease,BL101,0
A,47,25,1308,NA,emergency,,emergency,BL101,0
A,47,25,1051,NA,file,,file,BL101,0
A,47,25,1208,NA,fire,,fire,BL101,0
A,47,25,719,81,flowery,,flowery,BL101,2
A,47,25,1814,NA,god,,god,BL101,0
A,47,25,1616,249,heave,,heave,BL101,2
A,47,25,766,NA,humid,,humid,BL101,0
A,47,25,1821,297,intention,,intention,BL101,0
A,47,25,1467,138,mumble,,mumble,BL101,4
A,47,25,1852,NA,philosophy,,philosophy,BL101,0
A,47,25,838,155,polished,,polished,BL101,0
A,47,25,845,NA,puny,,puny,BL101,3
A,47,25,1947,311,recognize,,recognize,BL101,0
A,47,25,1491,164,reek,,reek,BL101,2
A,47,25,1522,204,spike,,spike,BL101,0
A,47,25,1187,NA,stab,,stab,BL101,0
A,47,25,1134,NA,steal,,steal,BL101,0
A,47,25,1529,212,storm,,storm,BL101,0
A,47,25,1257,NA,suite,,suite,BL101,-5
A,47,25,1088,NA,worry,,worry,BL101,0
B,13,25,1626,NA,appeal,,appeal,BL102,-3
B,13,25,1378,21,bounce,,bounce,BL102,3
B,13,25,1407,59,crunch,,crunch,BL102,5
B,13,25,684,62,curved,,curved,BL102,2
B,13,25,1334,NA,deem,,deem,BL102,-2
B,13,25,1308,NA,emergency,,emergency,BL102,1
B,13,25,1935,293,engage,,engage,BL102,0
B,13,25,1670,NA,extreme,,extreme,BL102,0
B,13,25,1126,NA,gray,,gray,BL102,0
B,13,25,1615,248,grind,,grind,BL102,2
B,13,25,1108,NA,hell,,hell,BL102,1
B,13,25,1820,296,information,,information,BL102,0
B,13,25,1002,NA,million,,million,BL102,-5
B,13,25,1718,276,production,,production,BL102,1
B,13,25,1867,NA,purpose,,purpose,BL102,0
B,13,25,1162,NA,root,,root,BL102,3
B,13,25,865,NA,rotund,,rotund,BL102,3
B,13,25,873,176,savory,,savory,BL102,1
B,13,25,885,NA,sharp,,sharp,BL102,0
B,13,25,1926,281,slave,,slave,BL102,0
B,13,25,1537,222,thunder,,thunder,BL102,3
B,13,25,1897,NA,type,,type,BL102,0
B,13,25,1901,NA,vote,,vote,BL102,0
B,13,25,979,233,whispering,,whispering,BL102,5
B,13,25,1031,NA,work,,work,BL102,1
D,13,25,958,225,tinkling,(as in sound),tinkling(as in sound),BL103,5
D,13,25,1110,NA,saw,(as in the tool),saw(as in the tool),BL103,5
D,13,25,1622,NA,advantage,,advantage,BL103,-3
D,13,25,1128,NA,arrest,,arrest,BL103,-5
D,13,25,634,26,bristly,,bristly,BL103,2
D,13,25,641,30,burning,,burning,BL103,5
D,13,25,1640,NA,city,,city,BL103,4
D,13,25,1598,244,clanging,,clanging,BL103,5
D,13,25,1191,NA,come,,come,BL103,-5
D,13,25,1205,67,dust,,dust,BL103,4
D,13,25,1306,NA,ease,,ease,BL103,4
D,13,25,1561,NA,fling,,fling,BL103,-3
D,13,25,1065,NA,free,,free,BL103,3
D,13,25,1435,99,grain,,grain,BL103,-3
D,13,25,1614,247,granule,,granule,BL103,-3
D,13,25,1447,113,hush,,hush,BL103,-5
D,13,25,1044,NA,interview,,interview,BL103,5
D,13,25,1939,298,invent,,invent,BL103,4
D,13,25,788,NA,lush,,lush,BL103,3
D,13,25,1456,124,malt,,malt,BL103,-5
D,13,25,1701,NA,master,,master,BL103,5
D,13,25,1943,306,oppose,,oppose,BL103,0
D,13,25,863,NA,roasting,,roasting,BL103,0
D,13,25,1886,NA,spite,,spite,BL103,5
D,13,25,933,214,striped,,striped,BL103,0
A,6,26,1362,3,adhere,,adhere,BL104,-5
A,6,26,606,NA,audible,,audible,BL104,0
A,6,26,691,NA,deep,,deep,BL104,3
A,6,26,1657,NA,drama,,drama,BL104,0
A,6,26,703,NA,elegant,,elegant,BL104,0
A,6,26,1328,NA,feat,,feat,BL104,-2
A,6,26,1421,80,flop,,flop,BL104,4
A,6,26,1158,NA,forest,,forest,BL104,2
A,6,26,1174,NA,guts,,guts,BL104,5
A,6,26,763,111,honeyed,,honeyed,BL104,0
A,6,26,1566,NA,hump,,hump,BL104,2
A,6,26,1828,NA,landscape,,landscape,BL104,4
A,6,26,1036,NA,matter,,matter,BL104,0
A,6,26,805,133,moldy,,moldy,BL104,5
A,6,26,814,143,musky,,musky,BL104,2
A,6,26,1854,NA,plan,,plan,BL104,-1
A,6,26,1922,275,prime,,prime,BL104,1
A,6,26,1719,NA,property,,property,BL104,1
A,6,26,1499,173,rust,,rust,BL104,1
A,6,26,891,NA,shrill,,shrill,BL104,4
A,6,26,930,212,stormy,,stormy,BL104,5
A,6,26,1534,218,taper,,taper,BL104,0
A,6,26,1929,286,tend,,tend,BL104,-2
A,6,26,968,226,vinegary,,vinegary,BL104,3
A,6,26,1053,NA,voice,,voice,BL104,1
A,6,26,983,235,wispy,,wispy,BL104,5
A,39,25,815,144,musty,(as in smell),musty(as in smell),BL105,5
A,39,25,1366,7,aroma,,aroma,BL105,5
A,39,25,1774,288,builder,,builder,BL105,5
A,39,25,678,NA,crisp,,crisp,BL105,5
A,39,25,679,57,crooked,,crooked,BL105,5
A,39,25,1410,63,dapple,,dapple,BL105,4
A,39,25,1349,NA,despicable,,despicable,BL105,0
A,39,25,1033,NA,destroy,,destroy,BL105,4
A,39,25,740,96,glossy,,glossy,BL105,5
A,39,25,1604,248,grinding,,grinding,BL105,5
A,39,25,1445,111,honey,,honey,BL105,0
A,39,25,778,NA,large,,large,BL105,5
A,39,25,1831,NA,level,,level,BL105,5
A,39,25,782,122,lilting,,lilting,BL105,5
A,39,25,1177,NA,liver,,liver,BL105,0
A,39,25,1468,139,murk,,murk,BL105,0
A,39,25,1256,NA,newt,,newt,BL105,0
A,39,25,1127,NA,prison,,prison,BL105,5
A,39,25,871,173,rusty,,rusty,BL105,5
A,39,25,901,194,smelly,,smelly,BL105,5
A,39,25,908,NA,soggy,,soggy,BL105,5
A,39,25,1748,NA,trend,,trend,BL105,0
A,39,25,1225,NA,ulterior,,ulterior,BL105,-4
A,39,25,980,234,whistling,,whistling,BL105,5
A,39,25,1220,NA,whole,,whole,BL105,-5
D,45,25,1041,NA,band,(as in rubber band),band(as in rubber band),BL106,0
D,45,25,1286,NA,west,,west,BL106,0
D,45,25,1763,NA,amateur,,amateur,BL106,0
D,45,25,1590,NA,azure,,azure,BL106,1
D,45,25,620,NA,blonde,,blonde,BL106,2
D,45,25,1377,20,boom,,boom,BL106,5
D,45,25,659,NA,clear,,clear,BL106,2
D,45,25,1932,290,construct,,construct,BL106,0
D,45,25,1399,50,crack,,crack,BL106,5
D,45,25,679,57,crooked,,crooked,BL106,1
D,45,25,1039,246,dirt,,dirt,BL106,0
D,45,25,1935,293,engage,,engage,BL106,0
D,45,25,1328,NA,feat,,feat,BL106,0
D,45,25,1423,83,foam,,foam,BL106,2
D,45,25,1024,NA,heart,,heart,BL106,0
D,45,25,1299,NA,incentive,,incentive,BL106,1
D,45,25,994,NA,jail,,jail,BL106,2
D,45,25,1034,NA,leave,,leave,BL106,0
D,45,25,1233,NA,molasses,,molasses,BL106,1
D,45,25,1856,NA,platform,,platform,BL106,0
D,45,25,1859,NA,president,,president,BL106,0
D,45,25,1288,NA,proof,,proof,BL106,0
D,45,25,1876,NA,rent,,rent,BL106,0
D,45,25,1878,314,resistance,,resistance,BL106,0
D,45,25,892,NA,silent,,silent,BL106,3
D,45,25,1193,NA,squeeze,,squeeze,BL106,4
C,34,25,1209,8,ashes,,ashes,BL107,4
C,34,25,626,21,bouncy,,bouncy,BL107,5
C,34,25,1597,243,chirping,,chirping,BL107,3
C,34,25,1395,46,color,,color,BL107,5
C,34,25,1798,NA,desk,,desk,BL107,5
C,34,25,1348,NA,divine,,divine,BL107,0
C,34,25,1660,NA,economy,,economy,BL107,5
C,34,25,704,NA,enormous,,enormous,BL107,5
C,34,25,1551,79,flicker,,flicker,BL107,3
C,34,25,1815,NA,grace,,grace,BL107,5
C,34,25,746,100,grassy,,grassy,BL107,4
C,34,25,1009,NA,hour,,hour,BL107,2
C,34,25,1918,270,impress,,impress,BL107,5
C,34,25,1297,NA,limbo,,limbo,BL107,0
C,34,25,1323,NA,martial,,martial,BL107,5
C,34,25,1705,NA,miss,,miss,BL107,5
C,34,25,1469,140,murmur,,murmur,BL107,4
C,34,25,813,141,mushy,,mushy,BL107,5
C,34,25,821,147,odorous,,odorous,BL107,5
C,34,25,1861,NA,prince,,prince,BL107,5
C,34,25,846,NA,purple,,purple,BL107,5
C,34,25,864,170,rotten,,rotten,BL107,5
C,34,25,1581,NA,sly,,sly,BL107,-5
C,34,25,1099,NA,victim,,victim,BL107,4
C,34,25,970,227,wailing,,wailing,BL107,-4
B,39,25,1830,NA,lead,(as in metal),lead(as in metal),BL108,-5
B,39,25,1629,NA,bank,(as in monetary institution),bank(as in monetary institution),BL108,-3
B,39,25,1630,NA,beauty,,beauty,BL108,1
B,39,25,991,NA,case,,case,BL108,-5
B,39,25,1390,40,circle,,circle,BL108,1
B,39,25,1397,48,contour,,contour,BL108,4
B,39,25,1798,NA,desk,,desk,BL108,-5
B,39,25,1803,NA,effort,,effort,BL108,0
B,39,25,701,70,eggy,,eggy,BL108,2
B,39,25,1672,NA,factory,,factory,BL108,1
B,39,25,1065,NA,free,,free,BL108,1
B,39,25,1424,86,frost,,frost,BL108,0
B,39,25,748,NA,grey,,grey,BL108,-3
B,39,25,765,NA,huge,,huge,BL108,3
B,39,25,769,NA,icy,,icy,BL108,2
B,39,25,772,114,itchy,,itchy,BL108,1
B,39,25,777,NA,khaki,,khaki,BL108,0
B,39,25,1841,NA,music,,music,BL108,-3
B,39,25,1252,NA,pork,,pork,BL108,2
B,39,25,1945,308,press,,press,BL108,-4
B,39,25,1874,311,recognition,,recognition,BL108,0
B,39,25,895,190,skinny,,skinny,BL108,2
B,39,25,1525,208,squeal,,squeal,BL108,4
B,39,25,926,NA,steep,,steep,BL108,2
B,39,25,951,NA,thorny,,thorny,BL108,0
A,45,25,1209,8,ashes,,ashes,BL109,0
A,45,25,1628,NA,balance,,balance,BL109,0
A,45,25,1353,NA,bliss,,bliss,BL109,-2
A,45,25,1226,NA,brave,,brave,BL109,0
A,45,25,1772,NA,breath,,breath,BL109,2
A,45,25,1931,289,confide,,confide,BL109,1
A,45,25,1326,NA,confuse,,confuse,BL109,-1
A,45,25,667,48,contoured,,contoured,BL109,1
A,45,25,1080,58,crowd,,crowd,BL109,0
A,45,25,1651,NA,department,,department,BL109,0
A,45,25,697,NA,dull,,dull,BL109,1
A,45,25,1268,NA,essence,,essence,BL109,1
A,45,25,730,NA,fuzzy,,fuzzy,BL109,3
A,45,25,747,101,greasy,,greasy,BL109,0
A,45,25,771,NA,insipid,,insipid,BL109,2
A,45,25,1824,NA,item,,item,BL109,0
A,45,25,1696,NA,life,,life,BL109,0
A,45,25,795,129,meowing,,meowing,BL109,5
A,45,25,1477,148,pain,,pain,BL109,0
A,45,25,1716,274,preparation,,preparation,BL109,1
A,45,25,1523,206,spot,,spot,BL109,0
A,45,25,965,150,unpalatable,,unpalatable,BL109,1
A,45,25,971,228,warbling,,warbling,BL109,4
A,45,25,1546,232,whine,,whine,BL109,4
A,45,25,979,233,whispering,,whispering,BL109,2
D,50,25,662,45,coconutty,,coconutty,BL11,3
D,50,25,1045,NA,colonel,,colonel,BL11,-3
D,50,25,667,48,contoured,,contoured,BL11,1
D,50,25,681,59,crunching,,crunching,BL11,5
D,50,25,695,NA,drab,,drab,BL11,4
D,50,25,698,67,dusty,,dusty,BL11,1
D,50,25,1170,74,fingernail,,fingernail,BL11,-2
D,50,25,1551,79,flicker,,flicker,BL11,4
D,50,25,1135,NA,freak,,freak,BL11,0
D,50,25,1681,NA,guilt,,guilt,BL11,-2
D,50,25,1298,NA,invite,,invite,BL11,1
D,50,25,1203,NA,lake,,lake,BL11,0
D,50,25,1002,NA,million,,million,BL11,2
D,50,25,817,145,muttering,,muttering,BL11,5
D,50,25,828,150,palatable,,palatable,BL11,0
D,50,25,1872,NA,race,,race,BL11,-2
D,50,25,1281,NA,real,,real,BL11,3
D,50,25,1877,313,requirement,,requirement,BL11,1
D,50,25,894,NA,silver,,silver,BL11,-3
D,50,25,907,NA,sodden,,sodden,BL11,-1
D,50,25,914,201,sparkly,,sparkly,BL11,3
D,50,25,1346,NA,suave,,suave,BL11,-1
D,50,25,1532,215,sweat,,sweat,BL11,1
D,50,25,1093,NA,throat,,throat,BL11,1
D,50,25,978,232,whining,,whining,BL11,5
C,16,25,1762,NA,advice,,advice,BL110,0
C,16,25,1116,NA,afraid,,afraid,BL110,0
C,16,25,603,183,antiseptic,,antiseptic,BL110,-3
C,16,25,1552,NA,arf,,arf,BL110,5
C,16,25,1378,21,bounce,,bounce,BL110,4
C,16,25,1792,NA,cure,,cure,BL110,0
C,16,25,691,NA,deep,,deep,BL110,1
C,16,25,1801,NA,east,,east,BL110,0
C,16,25,1207,NA,fog,,fog,BL110,0
C,16,25,730,NA,fuzzy,,fuzzy,BL110,3
C,16,25,732,89,garlicky,,garlicky,BL110,2
C,16,25,1358,NA,hope,,hope,BL110,0
C,16,25,1938,297,intent,,intent,BL110,0
C,16,25,774,116,jammy,,jammy,BL110,-3
C,16,25,1254,NA,javelin,,javelin,BL110,-3
C,16,25,1453,121,lemon,,lemon,BL110,-4
C,16,25,792,NA,mellow,,mellow,BL110,0
C,16,25,1027,NA,offer,,offer,BL110,0
C,16,25,1850,NA,pair,,pair,BL110,0
C,16,25,1851,NA,pat,,pat,BL110,5
C,16,25,1725,NA,rise,,rise,BL110,1
C,16,25,888,187,shiny,,shiny,BL110,4
C,16,25,1516,196,snarl,,snarl,BL110,5
C,16,25,914,201,sparkly,,sparkly,BL110,5
C,16,25,937,215,sweaty,,sweaty,BL110,1
D,26,25,1811,NA,firm,(as in a law firm),firm(as in a law firm),BL111,-3
D,26,25,1629,NA,bank,(as in monetary institution),bank(as in monetary institution),BL111,0
D,26,25,1004,NA,cast,"(verb, as in a spell)","cast(verb, as in a spell)",BL111,-2
D,26,25,1060,NA,able,,able,BL111,0
D,26,25,1239,NA,bequeath,,bequeath,BL111,1
D,26,25,1790,NA,craft,,craft,BL111,1
D,26,25,1279,NA,deluxe,,deluxe,BL111,-4
D,26,25,1338,NA,devote,,devote,BL111,-2
D,26,25,707,NA,fat,,fat,BL111,-2
D,26,25,1808,NA,fell,,fell,BL111,0
D,26,25,722,NA,fetid,,fetid,BL111,0
D,26,25,721,83,foamy,,foamy,BL111,3
D,26,25,748,NA,grey,,grey,BL111,0
D,26,25,1103,NA,heat,,heat,BL111,0
D,26,25,1565,NA,hoot,,hoot,BL111,4
D,26,25,1227,NA,lung,,lung,BL111,-2
D,26,25,1705,NA,miss,,miss,BL111,0
D,26,25,809,138,mumbling,,mumbling,BL111,4
D,26,25,1948,312,reduce,,reduce,BL111,-1
D,26,25,1492,165,reverberate,,reverberate,BL111,2
D,26,25,1188,179,scratch,,scratch,BL111,0
D,26,25,1506,182,sear,,sear,BL111,0
D,26,25,1514,191,slime,,slime,BL111,4
D,26,25,1741,NA,talent,,talent,BL111,0
D,26,25,1025,NA,trap,,trap,BL111,1
D,22,25,1038,NA,coast,(as in shoreline),coast(as in shoreline),BL112,0
D,22,25,815,144,musty,(as in smell),musty(as in smell),BL112,-1
D,22,25,991,NA,case,,case,BL112,0
D,22,25,1776,NA,cash,,cash,BL112,-2
D,22,25,1556,NA,clash,,clash,BL112,2
D,22,25,1795,NA,defeat,,defeat,BL112,1
D,22,25,1802,NA,effect,,effect,BL112,-1
D,22,25,1313,NA,extra,,extra,BL112,0
D,22,25,1051,NA,file,,file,BL112,0
D,22,25,1438,103,groan,,groan,BL112,2
D,22,25,1282,NA,guild,,guild,BL112,-2
D,22,25,770,NA,immense,,immense,BL112,0
D,22,25,793,127,melodious,,melodious,BL112,-2
D,22,25,1458,128,melt,,melt,BL112,0
D,22,25,1922,275,prime,,prime,BL112,0
D,22,25,1070,NA,prize,,prize,BL112,1
D,22,25,1733,282,socialist,,socialist,BL112,1
D,22,25,1026,NA,strength,,strength,BL112,0
D,22,25,1114,NA,strike,,strike,BL112,1
D,22,25,1120,NA,suck,,suck,BL112,3
D,22,25,1891,NA,suspicion,,suspicion,BL112,0
D,22,25,944,218,tapering,,tapering,BL112,-1
D,22,25,1587,NA,thrash,,thrash,BL112,2
D,22,25,1896,NA,trust,,trust,BL112,0
D,22,25,979,233,whispering,,whispering,BL112,2
C,28,25,1473,144,must,(as in smell),must(as in smell),BL113,0
C,28,25,597,NA,acrid,,acrid,BL113,4
C,28,25,1611,241,bubble,,bubble,BL113,5
C,28,25,1050,NA,champagne,,champagne,BL113,0
C,28,25,652,39,chocolatey,,chocolatey,BL113,3
C,28,25,1061,NA,contract,,contract,BL113,0
C,28,25,1213,NA,correct,,correct,BL113,0
C,28,25,682,60,crying,,crying,BL113,0
C,28,25,683,61,curly,,curly,BL113,3
C,28,25,1913,263,direct,,direct,BL113,2
C,28,25,1667,NA,exchange,,exchange,BL113,0
C,28,25,1092,NA,hang,,hang,BL113,1
C,28,25,1565,NA,hoot,,hoot,BL113,5
C,28,25,1686,NA,inch,,inch,BL113,0
C,28,25,795,129,meowing,,meowing,BL113,5
C,28,25,834,NA,petite,,petite,BL113,1
C,28,25,1946,309,promote,,promote,BL113,0
C,28,25,851,161,raspy,,raspy,BL113,5
C,28,25,1874,311,recognition,,recognition,BL113,-1
C,28,25,1952,316,satisfy,,satisfy,BL113,1
C,28,25,916,203,spicy,,spicy,BL113,5
C,28,25,1735,NA,spirit,,spirit,BL113,0
C,28,25,1747,NA,tool,,tool,BL113,0
C,28,25,1540,226,vinegar,,vinegar,BL113,2
C,28,25,1754,NA,want,,want,BL113,0
D,39,25,1473,144,must,(as in smell),must(as in smell),BL114,0
D,39,25,874,177,scaly,(of a fish),scaly(of a fish),BL114,1
D,39,25,607,9,banging,,banging,BL114,0
D,39,25,1374,16,bleep,,bleep,BL114,3
D,39,25,632,NA,brilliant,,brilliant,BL114,0
D,39,25,1611,241,bubble,,bubble,BL114,3
D,39,25,1555,NA,clank,,clank,BL114,5
D,39,25,1913,263,direct,,direct,BL114,0
D,39,25,1293,NA,enterprise,,enterprise,BL114,-5
D,39,25,1207,NA,fog,,fog,BL114,0
D,39,25,1812,NA,fortune,,fortune,BL114,0
D,39,25,1186,NA,hunt,,hunt,BL114,0
D,39,25,1161,NA,leaf,,leaf,BL114,0
D,39,25,1350,NA,mere,,mere,BL114,0
D,39,25,1132,NA,monster,,monster,BL114,0
D,39,25,818,NA,narrow,,narrow,BL114,-3
D,39,25,833,154,perfumed,,perfumed,BL114,0
D,39,25,1489,161,rasp,,rasp,BL114,4
D,39,25,872,175,salty,,salty,BL114,2
D,39,25,1089,NA,schedule,,schedule,BL114,0
D,39,25,917,204,spiky,,spiky,BL114,2
D,39,25,918,205,spilling,,spilling,BL114,0
D,39,25,943,217,tangy,,tangy,BL114,0
D,39,25,1149,NA,thin,,thin,BL114,3
D,39,25,1905,318,writing,,writing,BL114,0
C,19,25,1347,NA,aloof,,aloof,BL115,2
C,19,25,1289,NA,asinine,,asinine,BL115,-1
C,19,25,1778,NA,cellar,,cellar,BL115,0
C,19,25,1408,61,curl,,curl,BL115,-1
C,19,25,1332,NA,defy,,defy,BL115,1
C,19,25,1797,292,depression,,depression,BL115,1
C,19,25,703,NA,elegant,,elegant,BL115,3
C,19,25,722,NA,fetid,,fetid,BL115,3
C,19,25,756,NA,handsome,,handsome,BL115,1
C,19,25,1324,NA,holy,,holy,BL115,1
C,19,25,769,NA,icy,,icy,BL115,2
C,19,25,1299,NA,incentive,,incentive,BL115,-1
C,19,25,1451,117,jingle,,jingle,BL115,4
C,19,25,1203,NA,lake,,lake,BL115,-2
C,19,25,1302,NA,overture,,overture,BL115,0
C,19,25,1070,NA,prize,,prize,BL115,-1
C,19,25,845,NA,puny,,puny,BL115,0
C,19,25,1869,NA,quarrel,,quarrel,BL115,0
C,19,25,873,176,savory,,savory,BL115,2
C,19,25,883,185,shaggy,,shaggy,BL115,4
C,19,25,910,NA,sonorous,,sonorous,BL115,0
C,19,25,1736,284,statement,,statement,BL115,1
C,19,25,1257,NA,suite,,suite,BL115,0
C,19,25,1889,NA,supper,,supper,BL115,0
C,19,25,1745,NA,theory,,theory,BL115,0
D,48,25,1807,NA,fair,(as in the event),fair(as in the event),BL116,0
D,48,25,1627,257,arrangement,,arrangement,BL116,2
D,48,25,1123,NA,bullet,,bullet,BL116,1
D,48,25,1779,NA,century,,century,BL116,0
D,48,25,1061,NA,contract,,contract,BL116,0
D,48,25,685,NA,damp,,damp,BL116,0
D,48,25,1651,NA,department,,department,BL116,0
D,48,25,1112,NA,edge,,edge,BL116,1
D,48,25,1915,265,enter,,enter,BL116,0
D,48,25,1809,NA,felt,,felt,BL116,0
D,48,25,760,110,hissing,,hissing,BL116,5
D,48,25,1448,114,itch,,itch,BL116,4
D,48,25,1182,302,laugh,,laugh,BL116,2
D,48,25,1453,121,lemon,,lemon,BL116,0
D,48,25,782,122,lilting,,lilting,BL116,4
D,48,25,1104,NA,loss,,loss,BL116,1
D,48,25,792,NA,mellow,,mellow,BL116,2
D,48,25,1175,NA,neck,,neck,BL116,0
D,48,25,1277,NA,refute,,refute,BL116,0
D,48,25,1571,252,roar,,roar,BL116,5
D,48,25,1730,NA,shell,,shell,BL116,0
D,48,25,1517,197,snort,,snort,BL116,4
D,48,25,1890,NA,supply,,supply,BL116,0
D,48,25,963,NA,ugly,,ugly,BL116,3
D,48,25,974,NA,weak,,weak,BL116,3
C,12,26,1090,NA,attorney,,attorney,BL117,0
C,12,26,1631,258,beginning,,beginning,BL117,0
C,12,26,1375,18,blotch,,blotch,BL117,1
C,12,26,1131,30,burn,,burn,BL117,4
C,12,26,1133,NA,cage,,cage,BL117,3
C,12,26,1596,242,chiming,,chiming,BL117,1
C,12,26,1125,NA,crap,,crap,BL117,1
C,12,26,685,NA,damp,,damp,BL117,1
C,12,26,1420,79,flick,,flick,BL117,-1
C,12,26,758,108,hazy,,hazy,BL117,0
C,12,26,812,142,mushroomy,,mushroomy,BL117,0
C,12,26,1273,NA,premier,,premier,BL117,1
C,12,26,1921,274,prepare,,prepare,BL117,0
